API Name,Environment,Current Version Supported,Description,More Details
/v2/patientaccess/Patient 2.0.1,Production,CARIN Blue Button Implementation Guide (v1.0.0),Search basic demographics and other administrative information for the authenticated member with Member identifier or Patient ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Patient.yaml
/v2/patientaccess/Patient/{id} 2.0.1,Production,CARIN Blue Button Implementation Guide (v1.0.0),Access to basic demographics and other administrative information by patient ID for the authenticated member.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Patient_id.yaml
/v2/patientaccess/Practitioner/{Id} 2.0.1,Production,CARIN Blue Button Implementation Guide (v1.0.0),Access to a practitioner data by practitioner ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Practitioner_id.yaml
/v2/patientaccess/PractitionerRole/{Id} 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a practitioner role data by practitioner role ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_PractitionerRole_id.yaml
/v2/patientaccess/Procedure 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to all Procedure data tied to the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Procedure.yaml
/v2/patientaccess/Procedure/{id} 2.0.1,Production,US Core Implementation Guide (v3.1.1: STU 3),Access to a Procedure data by Procedure ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Procedure_id.yaml
/v3/patientaccess/AllergyIntolerance 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all allergies/adverse reactions for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_AllergyIntolerance.yaml
/v3/patientaccess/Binary/{id} 3.0.0,Production,FHIR 4.0.1,"Access to a Binary. (Represents the data of a single raw artifact as digital content accessible in its native format. A Binary resource can contain any content, whether text, image, pdf, zip archive, etc.) Resource details by FHIR ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Binary_id.yaml
/v3/patientaccess/CarePlan 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all assessment and plan of treatment data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_CarePlan.yaml
/v3/patientaccess/CareTeam 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Care Team members for for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_CareTeam.yaml
/v3/patientaccess/Condition 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Condition data (such as diagnosis) for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Condition.yaml
/v3/patientaccess/Device 3.0.0,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v6.1.0: STU 6)",Access to all Device data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Device.yaml
/v3/patientaccess/DiagnosticReport 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Diagnostic data (such as lab) for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_DiagnosticReport.yaml
/v3/patientaccess/DocumentReference 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all patient documents including Clinical Notes for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_DocumentReference.yaml
/v3/patientaccess/Encounter 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all clinical-encounter data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Encounter.yaml
/v3/patientaccess/Endpoint/{id} 3.0.0,Production,FHIR 4.0.1,"Access to an EndPoint. (The technical details of an endpoint that can be used for electronic services, such as for web services providing XDS.b or a REST endpoint for another FHIR server.) Resource details by FHIR ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Endpoint_id.yaml
/v3/patientaccess/Goal 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all goal information for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Goal.yaml
/v3/patientaccess/Immunization 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Immunization data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Immunization.yaml
/v3/patientaccess/Medication 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Medications for the authenticated user by Medication ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Medication.yaml
/v3/patientaccess/MedicationDispense 3.0.0,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v6.1.0: STU 6)",Access to all Medication Dispense data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_MedicationDispense.yaml
/v3/patientaccess/MedicationRequest 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Medication Request data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_MedicationRequest.yaml
/v3/patientaccess/Observation 3.0.0,Production,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v6.1.0: STU 6)","Access to all Observation data (such as vital signs, pulse oximetry, etc.) for an authenticated user.",https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Observation.yaml
/v3/patientaccess/Procedure 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Procedure data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Procedure.yaml
/v3/patientaccess/QuestionnaireResponse 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Questionnaire Response data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_QuestionnaireResponse.yaml
/v3/patientaccess/ServiceRequest 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Service Request data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_ServiceRequest.yaml
/v3/patientaccess/Specimen 3.0.0,Production,US Core Implementation Guide (v6.1.0: STU 6),Access to all Specimen data for an authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v3_patientaccess_Specimen.yaml
/v2/patientaccess/AllergyIntolerance 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all allergies/adverse reactions for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_AllergyIntolerance_sandbox.yaml
/v2/patientaccess/AllergyIntolerance/{id} 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a allergies/adverse reaction by Allergy Intolerance ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_AllergyIntolerance_id_sandbox.yaml
/v2/patientaccess/Binary/{id} 2.0.0,sandbox,FHIR 4.0.1,"Access to a Binary. (Represents the data of a single raw artifact as digital content accessible in its native format. A Binary resource can contain any content, whether text, image, pdf, zip archive, etc.) Resource details by its FHIR ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Binary_id_sandbox.yaml
/v2/patientaccess/CarePlan 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all assessment and plan of treatment data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_CarePlan_sandbox.yaml
/v2/patientaccess/CarePlan/{id} 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a assessment and plan of treatment data by Care Plan ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_CarePlan_id_sandbox.yaml
/v2/patientaccess/CareTeam 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all Care Team members for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_CareTeam_sandbox.yaml
/v2/patientaccess/CareTeam/{id} 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a Care Team data by Care Team ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_CareTeam_id_sandbox.yaml
/v2/patientaccess/Condition 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all Condition data (such as diagnosis) tied to the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Condition_sandbox.yaml
/v2/patientaccess/Condition/{id} 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a Condition data (such as diagnosis) by Condition ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Condition_id_sandbox.yaml
/v2/patientaccess/Coverage 2.0.0,sandbox,CARIN Blue Button Implementation Guide (v2.0.0),"Access to all Coverage data (plan name, type, effective dates, etc.) for authenticated user.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Coverage_sandbox.yaml
/v2/patientaccess/Coverage/{id} 2.0.0,sandbox,CARIN Blue Button Implementation Guide (v2.0.0),"Access to a Coverage data (plan name, type, effective dates, etc.) by Coverage ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Coverage_id_sandbox.yaml
/v2/patientaccess/Device 2.0.0,sandbox,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v5.0.1: STU 5)",Access to all Device data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Device_sandbox.yaml
/v2/patientaccess/Device/{id} 2.0.0,sandbox,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v5.0.1: STU 5)",Access to a Device data by Device ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Device_id_sandbox.yaml
/v2/patientaccess/DiagnosticReport 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all Diagnostic data (such as lab) tied to the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_DiagnosticReport_sandbox.yaml
/v2/patientaccess/DiagnosticReport/{id} 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a Diagnostic data (such as lab) by Diagnostic Report ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_DiagnosticReport_id_sandbox.yaml
/v2/patientaccess/DocumentReference 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all patient documents including Clinical Notes for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_DocumentReference_sandbox.yaml
/v2/patientaccess/DocumentReference/{id} 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a patient document by DocumentReference ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_DocumentReference_id_sandbox.yaml
/v2/patientaccess/Encounter 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all clinical-encounter data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Encounter_sandbox.yaml
/v2/patientaccess/Encounter/{id} 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a clinical-encounter data by Encounter ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Encounter_id_sandbox.yaml
/v2/patientaccess/Endpoint/{id} 2.0.0,sandbox,FHIR 4.0.1,"Access to an EndPoint. (The technical details of an endpoint that can be used for electronic services, such as for web services providing XDS.b or a REST endpoint for another FHIR server.) Resource details by its FHIR ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Endpoint_id_sandbox.yaml
/v2/patientaccess/ExplanationOfBenefit 2.0.0,sandbox,CARIN Blue Button Implementation Guide (v2.0.0),Search of claim data for authenticated member - also supports searches by date range & claim type.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_ExplanationOfBenefit_sandbox.yaml
/v2/patientaccess/ExplanationOfBenefit/{id} 2.0.0,sandbox,CARIN Blue Button Implementation Guide (v2.0.0),Access a claim data for authenticated member.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_ExplanationOfBenefit_id_sandbox.yaml
/v2/patientaccess/Goal 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all goal information for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Goal_sandbox.yaml
/v2/patientaccess/Goal/{id} 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a goal information by Goal ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Goal_id_sandbox.yaml
/v2/patientaccess/Immunization 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all Immunization data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Immunization_sandbox.yaml
/v2/patientaccess/Immunization/{id} 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a Immunization data by Immunization ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Immunization_id_sandbox.yaml
/v2/patientaccess/Location/{id} 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),"Access to a Location information associated with a patient, provider or organization by Location ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Location_id_sandbox.yaml
/v2/patientaccess/Medication/{id} 2.0.0,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access a medication associated with the patient by Medication ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Medication_id_sandbox.yaml
/v2/patientaccess/MedicationDispense 2.0.0,sandbox,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v5.0.1: STU 5)",Access to all MedicationDispenses associated with an Authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationDispense_sandbox.yaml
/v2/patientaccess/MedicationDispense/{id} 2.0.0,sandbox,"US Core Implementation Guide (v5.0.1: STU 5), DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1)",Access to a MedicationDispense by MedicationDispense ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationDispense_id_sandbox.yaml
/v2/patientaccess/MedicationRequest 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to all Medication Request data for the authenticated user.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationRequest_sandbox.yaml
/v2/patientaccess/MedicationRequest/{id} 2.0.1,sandbox,US Core Implementation Guide (v5.0.1: STU 5),Access to a Medication Request data by Medication Request ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_MedicationRequest_id_sandbox.yaml
/v2/patientaccess/Observation 2.0.1,sandbox,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v5.0.1: STU 5)","Access to all Observation data (such as vital signs, pulse oximetry, etc.) for the authenticated member.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Observation_sandbox.yaml
/v2/patientaccess/Observation/{id} 2.0.1,sandbox,"DaVinci Payer Data Exchange Implementation Guide (v1.0.0: STU 1), US Core Implementation Guide (v5.0.1: STU 5)","Access to a Observation data (such as vital signs, pulse oximetry, etc.) by Observation ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Observation_id_sandbox.yaml
/v2/patientaccess/Organization/{id} 2.0.1,sandbox,CARIN Blue Button Implementation Guide (v2.0.0),"Access to a Organization (Healthcare Practice Groups, Hospitals, etc.) data by organization ID.",https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Organization_id_sandbox.yaml
/v2/patientaccess/Patient 2.0.1,sandbox,"CARIN Blue Button Implementation Guide (v2.0.0), US Core Implementation Guide (v5.0.1: STU 5)",Search basic demographics and other administrative information for the authenticated member with Member identifier or Patient ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Patient_sandbox.yaml
/v2/patientaccess/Patient/{id} 2.0.1,sandbox,"CARIN Blue Button Implementation Guide (v2.0.0), US Core Implementation Guide (v5.0.1: STU 5)",Access to basic demographics and other administrative information by patient ID for the authenticated member.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Patient_id_sandbox.yaml
/v2/patientaccess/Practitioner/{Id} 2.0.1,sandbox,CARIN Blue Button Implementation Guide (v2.0.0),Access to a practitioner data by practitioner ID.,https://developerportal.aetna.com/fhir/apis/swagger/_v2_patientaccess_Practitioner_id_sandbox.yaml
